expId,genType,jobName,scaleOut,chkInt,cpuVal,memVal,taskSlots,avgThr,avgLat,recTime,startTs,stopTs
1,ADS,demeter,24,10000,1,4096,1,25495.079997,1268.082787,-1,1697071438,1697072038
1,ADS,demeter,24,10000,1,4096,1,23839.59054,1265.352732,-1,1697072038,1697073064
1,ADS,demeter,24,10000,1,4096,1,27504.693576,1249.709904,-1,1697073064,1697073981
1,ADS,demeter,24,10000,1,4096,1,30416.110035,1232.316154,-1,1697073981,1697074328
1,ADS,demeter,24,10000,1,4096,1,35442.457735,1234.253484,-1,1697074328,1697074745
1,ADS,demeter,24,10000,1,4096,1,50904.269242,1237.887295,-1,1697074745,1697075541
1,ADS,demeter,24,10000,1,4096,1,57958.893335,1212.173429,-1,1697075541,1697076512
1,ADS,demeter,24,10000,1,4096,1,35898.14425,1235.136954,-1,1697076512,1697077433
1,ADS,demeter,16,70000,2,3072,2,34226.534187,1191.576332,-1,1697077433,1697078023
1,ADS,demeter,16,70000,2,3072,2,37096.581925,1178.873566,-1,1697078023,1697078157
1,ADS,demeter,24,10000,1,4096,1,56291.937542,1223.831728,-1,1697078157,1697078764
1,ADS,demeter,24,10000,1,4096,1,79450.033303,1219.164344,-1,1697078764,1697079766
1,ADS,demeter,24,10000,1,4096,1,58938.633364,1204.294467,-1,1697079766,1697080916
1,ADS,demeter,24,10000,1,4096,1,53528.287347,1227.989242,-1,1697080916,1697081953
1,ADS,demeter,16,70000,2,3072,2,32408.238469,6775.348688,-1,1697081953,1697083031
1,ADS,demeter,20,90000,2,3072,2,17762.568241,1278.264426,-1,1697083031,1697084232
1,ADS,demeter,20,90000,2,1024,2,23059.262026,1268.183607,-1,1697084232,1697084822
1,ADS,demeter,20,90000,2,2048,2,27249.723848,1242.938566,-1,1697084822,1697085754
1,ADS,demeter,20,90000,2,3072,2,36258.489536,1227.384795,-1,1697085754,1697086821
1,ADS,demeter,24,10000,1,4096,1,67214.059201,2197.938593,-1,1697086821,1697087753
1,ADS,demeter,16,70000,2,3072,2,36889.110471,1204.351127,-1,1697087753,1697088730
1,ADS,demeter,24,10000,1,4096,1,31367.24524,1214.720376,-1,1697088730,1697089658
1,ADS,demeter,20,90000,2,1024,2,29876.148196,1263.443566,-1,1697089658,1697090560
1,ADS,demeter,20,70000,2,3072,2,28528.766096,6009.254821,-1,1697090560,1697091089
1,ADS,demeter,24,90000,1,3072,2,25835.117604,1236.522746,-1,1697091089,1697092357
1,ADS,demeter,24,90000,1,3072,2,26928.768271,1227.067452,-1,1697092357,1697093280
1,ADS,demeter,20,90000,2,3072,2,32862.86411,1219.167049,-1,1697093280,1697094262
1,ADS,demeter,24,10000,1,4096,1,43896.502761,1232.730772,-1,1697094262,1697095427
1,ADS,demeter,24,10000,1,4096,1,77686.353657,1211.689959,-1,1697095427,1697096663
1,ADS,demeter,20,90000,2,3072,2,85991.548941,2630.477418,-1,1697096663,1697097788
1,ADS,demeter,24,10000,1,4096,1,38459.171399,1225.579816,-1,1697097788,1697099009
1,ADS,demeter,24,10000,1,4096,1,50463.557735,1205.527083,-1,1697099009,1697099599
1,ADS,demeter,24,10000,1,4096,1,64195.525771,1184.110963,-1,1697099599,1697100190
1,ADS,demeter,24,10000,1,4096,1,57411.216017,1194.411919,-1,1697100190,1697100780
1,ADS,demeter,24,10000,1,4096,1,48073.564322,1203.622985,-1,1697100780,1697101372
1,ADS,demeter,24,10000,1,4096,1,44552.65753,1206.88125,-1,1697101372,1697101962
1,ADS,demeter,24,10000,1,4096,1,44415.400545,1213.119536,-1,1697101962,1697102553
1,ADS,demeter,24,10000,1,4096,1,43458.281177,1201.449898,-1,1697102553,1697103143
1,ADS,demeter,24,10000,1,4096,1,42050.898395,1215.420082,-1,1697103143,1697103736
