expId,genType,jobName,scaleOut,chkInt,cpuVal,memVal,taskSlots,avgThr,avgLat,recTime,startTs,stopTs
1,CARS,profile4,8,90000,1,1024,4,12929.635977,77494.400205,360,1697322049,1697322109
1,CARS,profile3,16,70000,3,4096,4,34164.397161,1036.130225,91,1697322049,1697322109
1,CARS,profile1,8,30000,1,4096,1,34082.045222,1035.64252,126,1697322049,1697322109
1,CARS,profile2,12,50000,1,3072,4,27974.126498,43545.317691,360,1697322049,1697322109
1,CARS,profile2,8,50000,1,3072,2,35085.950264,1051.760861,220,1697323039,1697323099
1,CARS,profile4,8,50000,1,2048,4,16362.689542,76035.51998,360,1697323039,1697323099
1,CARS,profile3,8,70000,3,4096,2,34406.806711,1036.845697,88,1697323039,1697323099
1,CARS,profile1,16,10000,1,4096,4,32303.698493,52682.360092,360,1697323039,1697323099
1,CARS,profile1,20,90000,1,4096,1,33238.629711,1034.990328,97,1697323799,1697323859
1,CARS,profile1,16,70000,2,3072,2,34632.522625,1041.439754,90,1697324668,1697324728
1,CARS,profile1,20,90000,2,2048,2,38353.096633,1036.576803,92,1697325598,1697325658
1,CARS,profile1,12,90000,2,3072,3,46153.289383,1046.227937,153,1697326249,1697326309
1,CARS,profile1,8,50000,2,3072,2,82556.71203,1036.75502,180,1697327247,1697327307
1,CARS,profile2,20,70000,2,1024,4,91848.285212,12093.147172,360,1697327247,1697327307
1,CARS,profile1,24,10000,2,2048,3,93050.650159,1039.532377,120,1697328034,1697328094
1,CARS,profile1,20,50000,2,1024,4,56608.66495,1047.375656,183,1697328944,1697329004
1,CARS,profile1,12,70000,2,1024,3,45522.278335,1039.259426,186,1697329955,1697330015
1,CARS,profile1,8,50000,2,2048,2,46970.125489,1042.840061,121,1697330990,1697331050
1,CARS,profile2,12,50000,2,1024,3,51890.282157,1046.9,189,1697331938,1697331998
1,CARS,profile1,16,30000,2,2048,2,51473.095414,1043.354559,86,1697331938,1697331998
1,CARS,profile1,16,30000,2,2048,2,54643.69253,1034.620799,91,1697332922,1697332982
1,CARS,profile1,24,30000,2,1024,3,49980.502532,1038.497439,86,1697333824,1697333884
1,CARS,profile1,24,10000,2,1024,3,57102.046392,1054.535485,88,1697334720,1697334780
1,CARS,profile1,16,50000,2,2048,2,96359.264757,1086.610348,118,1697336194,1697336254
1,CARS,profile2,12,90000,2,3072,3,107284.544542,1105.133265,360,1697336821,1697336881
1,CARS,profile1,16,50000,3,1024,4,110487.709523,8710.810451,360,1697336821,1697336881
1,CARS,profile1,16,70000,2,1024,4,69508.602205,74114.556506,360,1697338002,1697338062
1,CARS,profile1,20,10000,1,3072,2,99695.715978,34601.749754,190,1697339145,1697339205
1,CARS,profile1,20,30000,2,2048,2,43550.141251,1036.901352,92,1697340132,1697340192
1,CARS,profile1,12,50000,2,3072,2,42723.332376,1046.988934,88,1697341018,1697341078
1,CARS,profile2,8,70000,2,1024,4,40320.714374,17637.278279,360,1697341904,1697341964
1,CARS,profile1,12,10000,1,1024,3,26325.22168,44022.556216,360,1697341904,1697341964
1,CARS,profile1,16,30000,2,1024,4,45977.546029,1047.174693,192,1697347817,1697347877
1,CARS,profile1,12,50000,2,1024,2,80722.485771,1090.784699,181,1697348805,1697348865
1,CARS,profile1,16,30000,1,3072,2,92056.655935,32737.102561,360,1697349311,1697349371
1,CARS,profile1,24,10000,1,2048,2,57781.039763,1071.212466,96,1697350466,1697350526
1,CARS,profile1,12,30000,2,1024,3,45210.784979,1060.012227,153,1697351361,1697351421
1,CARS,profile1,20,30000,1,1024,4,23586.06154,50198.709317,360,1697352327,1697352387
1,CARS,profile1,12,10000,2,1024,3,52523.774115,1050.398497,120,1697353486,1697353546
1,CARS,profile2,12,50000,1,1024,2,59753.428259,1941.115232,312,1697354405,1697354465
1,CARS,profile1,12,30000,2,1024,3,55485.510996,1051.230669,213,1697354405,1697354465
1,CARS,profile1,24,10000,2,1024,3,50707.226004,1048.099351,88,1697355549,1697355609
1,CARS,profile1,24,10000,2,1024,3,58666.542961,1041.948292,143,1697356438,1697356498
1,CARS,profile1,12,30000,2,2048,3,91268.722512,1106.375546,240,1697357405,1697357465
1,CARS,profile1,24,30000,1,3072,2,118820.342712,5239.434085,283,1697358442,1697358502
1,CARS,profile4,8,70000,1,2048,4,17240.844134,94292.608197,360,1697359541,1697359601
1,CARS,profile2,12,10000,1,3072,4,20493.610996,88866.060656,360,1697359541,1697359601
1,CARS,profile3,8,50000,1,1024,4,10065.835071,96758.40748,360,1697359541,1697359601
1,CARS,profile1,12,10000,1,4096,4,25656.649402,88988.217213,360,1697359541,1697359601
1,CARS,profile1,8,70000,1,4096,1,93699.6326,1149.666701,234,1697360752,1697360812
1,CARS,profile1,16,10000,1,4096,2,74568.022452,34366.892162,360,1697371305,1697371365
1,CARS,profile1,8,50000,2,1024,2,48146.714487,1055.400205,119,1697372450,1697372510
1,CARS,profile1,12,50000,1,1024,2,46139.000062,1046.792623,250,1697373996,1697374056
1,CARS,profile1,12,50000,2,3072,2,52708.491841,1077.505738,121,1697375077,1697375137
1,CARS,profile1,12,50000,1,2048,2,59086.018855,1063.727937,249,1697376004,1697376064
1,CARS,profile1,12,50000,2,2048,2,50514.393878,1072.980328,120,1697377057,1697377117
1,CARS,profile1,12,50000,2,2048,2,57306.090822,1048.356557,120,1697377985,1697378045
1,CARS,profile1,20,90000,2,1024,4,88936.779017,62826.361803,360,1697380104,1697380164
1,CARS,profile1,8,50000,2,1024,2,106185.900401,14010.836168,360,1697381304,1697381364
1,CARS,profile1,12,50000,3,2048,4,100289.357937,1122.857992,206,1697382147,1697382207
1,CARS,profile1,8,10000,2,1024,2,42285.486759,1144.900102,118,1697383767,1697383827
1,CARS,profile1,8,30000,2,3072,2,43569.380293,1298.490984,92,1697384683,1697384743
